Open,High,Low,Close,Adj Close,Volume,Date
5.8125,5.8125,5.5625,5.6875,3.5703043937683105,7436400,10/16/1997
5.65625,5.75,5.40625,5.59375,3.5114521980285645,3390400,10/17/1997
5.5,5.625,5.46875,5.53125,3.4722201824188232,3068000,10/20/1997
5.5625,5.6875,5.5,5.59375,3.5114521980285645,2382400,10/21/1997
5.6875,5.75,5.59375,5.71875,3.589919328689575,1525200,10/22/1997
5.6875,5.6875,5.53125,5.59375,3.5114521980285645,1622400,10/23/1997
5.65625,5.71875,5.5625,5.71875,3.589919328689575,813600,10/24/1997
5.65625,5.75,5.375,5.421875,3.403559923171997,1507200,10/27/1997
5.25,5.6875,4.9375,5.59375,3.5114521980285645,2955600,10/28/1997
5.6875,5.71875,5.59375,5.65625,3.550687789916992,1859200,10/29/1997
5.53125,5.5625,5.375,5.5,3.4526007175445557,856000,10/30/1997
5.4375,5.640625,5.4375,5.5,3.4526007175445557,561600,10/31/1997
5.625,5.84375,5.53125,5.734375,3.5997297763824463,1004000,11/03/1997
5.75,5.875,5.6875,5.78125,3.629155158996582,364000,11/04/1997
5.8125,6.0625,5.78125,5.90625,3.7076239585876465,324400,11/05/1997
5.875,6.25,5.875,6.25,3.923412561416626,361600,11/06/1997
6.1875,6.625,6.03125,6.4375,4.0411152839660645,662400,11/07/1997
6.3125,6.5,6.15625,6.15625,3.8645575046539307,266800,11/10/1997
5.9375,6.0,5.75,6.0,3.7664742469787598,618000,11/11/1997
6.0,6.0,5.5625,5.6875,3.5703043937683105,314800,11/12/1997
5.5625,5.625,5.46875,5.5,3.4526007175445557,500000,11/13/1997
5.4375,5.5,5.3125,5.4375,3.41336727142334,438000,11/14/1997
5.5,5.84375,5.5,5.8125,3.648770809173584,284000,11/17/1997
5.875,5.875,5.6875,5.71875,3.589919328689575,1429600,11/18/1997
5.71875,5.8125,5.5625,5.5625,3.491834878921509,148400,11/19/1997
5.625,5.625,5.3125,5.5625,3.491834878921509,1268000,11/20/1997
5.5625,5.625,5.5,5.53125,3.4722201824188232,640800,11/21/1997
5.5,5.59375,5.5,5.53125,3.4722201824188232,64400,11/24/1997
5.5625,5.625,5.5,5.515625,3.4624106884002686,326800,11/25/1997
5.5,5.53125,5.234375,5.253905773162842,3.2981176376342773,463200,11/26/1997
5.28125,5.3125,5.25,5.25,3.2956671714782715,212800,11/28/1997
5.25,5.375,5.25,5.265625,3.3054728507995605,475200,12/01/1997
5.375,5.5,5.28125,5.34375,3.354515552520752,1280800,12/02/1997
5.4375,5.5,5.34375,5.5,3.4526007175445557,934400,12/03/1997
5.5,5.625,5.40625,5.546875,3.4820263385772705,681600,12/04/1997
5.5,5.75,5.4375,5.6875,3.5703043937683105,282800,12/05/1997
5.6875,5.75,5.65625,5.71875,3.589919328689575,227600,12/08/1997
5.75,5.8125,5.59375,5.59375,3.5114521980285645,124000,12/09/1997
5.625,5.625,5.3125,5.375,3.3832058906555176,269600,12/10/1997
5.25,5.375,5.15625,5.3125,3.3438658714294434,400800,12/11/1997
5.375,5.375,5.15625,5.15625,3.245516061782837,412400,12/12/1997
5.25,5.375,5.171875,5.21875,3.284856081008911,289200,12/15/1997
5.125,5.3125,5.125,5.21875,3.284856081008911,190800,12/16/1997
5.15625,5.1875,5.03125,5.03125,3.166837215423584,584800,12/17/1997
5.09375,5.09375,4.96875,5.0,3.1471669673919678,272400,12/18/1997
5.03125,5.03125,4.9375,4.9375,3.107827663421631,921600,12/19/1997
4.9375,5.3125,4.9375,5.0625,3.1865074634552,924000,12/22/1997
5.1875,5.1875,4.9375,5.0,3.1471669673919678,2331200,12/23/1997
5.03125,5.03125,4.9375,4.9375,3.107827663421631,50400,12/24/1997
5.0,5.0625,4.96875,5.0625,3.1865074634552,1248400,12/26/1997
5.0625,5.28125,5.0,5.28125,3.324195146560669,430800,12/29/1997
5.0625,5.34375,5.0625,5.28125,3.324195146560669,662800,12/30/1997
5.40625,5.6875,5.25,5.59375,3.5208940505981445,911600,12/31/1997
5.53125,5.78125,5.53125,5.78125,3.63891339302063,112400,01/02/1998
6.03125,6.09375,5.625,5.625,3.5405638217926025,629600,01/05/1998
5.59375,5.59375,5.25,5.421875,3.4127113819122314,915200,01/06/1998
5.421875,5.75,5.421875,5.5625,3.5012240409851074,164800,01/07/1998
5.5,5.78125,5.5,5.75,3.619243860244751,236000,01/08/1998
5.65625,5.75,5.5,5.5,3.461884021759033,140400,01/09/1998
5.375,5.53125,5.34375,5.34375,3.3635354042053223,927200,01/12/1998
5.5,5.5,5.3125,5.4375,3.4225454330444336,100400,01/13/1998
5.4375,5.5625,5.34375,5.359375,3.3733720779418945,585600,01/14/1998
5.4375,5.4375,5.34375,5.375,3.3832058906555176,417200,01/15/1998
5.4375,5.59375,5.34375,5.5625,3.5012240409851074,69200,01/16/1998
5.5,5.78125,5.5,5.78125,3.63891339302063,348800,01/20/1998
5.75,5.78125,5.71875,5.75,3.619243860244751,141600,01/21/1998
