Open,High,Low,Close,Adj Close,Volume
408.0,448.0,384.0,420.0,325.7619323730469,792528
419.0,420.0,384.0,384.0,297.83953857421875,80228
389.0,396.0,384.0,388.0,300.94195556640625,48422
386.0,418.0,386.0,396.0,307.1470031738281,42166
392.0,400.0,382.0,384.0,297.83953857421875,47247
401.0,460.0,396.0,458.0,355.2356262207031,60400
482.0,520.0,446.0,486.0,376.9530944824219,66547
492.0,502.0,432.0,432.0,335.0693054199219,33878
434.0,440.0,408.0,416.0,322.659423828125,17925
414.0,418.0,386.0,386.0,299.3907470703125,18441
402.0,414.0,388.0,412.0,319.5569152832031,20113
429.0,433.5,400.0,420.0,325.7619323730469,19491
430.0,432.0,404.0,428.0,331.9669189453125,22728
427.0,470.0,424.0,454.0,352.1331481933594,19891
482.0,528.0,476.0,518.0,401.7729797363281,87397
516.0,520.0,480.0,504.0,390.9142150878906,27738
506.0,520.0,496.0,498.0,386.2605895996094,23025
516.0,520.0,488.0,496.0,384.709228515625,20559
512.0,512.0,428.0,460.0,356.786865234375,23959
456.5,464.0,440.0,448.0,347.4793701171875,15956
442.0,448.0,432.0,444.0,344.3769226074219,34547
435.0,442.0,412.0,416.0,322.659423828125,33853
408.0,420.0,396.0,400.0,310.24951171875,10363
444.0,444.0,400.0,406.0,314.9031982421875,8109
402.0,416.0,400.0,402.0,311.8006896972656,3600
420.0,424.0,382.0,386.0,299.3907470703125,18659
419.0,420.0,344.0,360.0,279.2244873046875,48038
368.0,370.0,312.0,332.0,257.5071105957031,24103
330.0,344.0,326.0,340.0,263.7119140625,25247
307.0,346.0,302.0,338.0,262.1607360839844,8456
340.0,346.0,300.0,302.0,234.2383270263672,21066
316.0,318.0,288.0,296.0,229.58468627929688,19634
301.0,302.0,276.0,299.0,231.91151428222656,16756
296.0,344.0,292.0,320.0,248.19956970214844,22041
323.0,324.0,279.0,284.0,220.27708435058594,19125
300.0,301.0,268.0,272.0,210.96969604492188,6888
275.0,284.0,248.0,254.0,197.00839233398438,10128
256.0,258.0,216.0,228.0,176.8421630859375,14600
222.0,260.0,208.0,210.0,162.88096618652344,15178
222.5,224.0,190.0,195.0,151.24661254882812,11413
210.0,214.0,185.0,198.0,153.57350158691406,10650
202.0,204.0,176.0,182.0,141.16351318359375,13291
168.0,184.0,130.0,132.0,102.38230895996094,42488
163.0,168.0,144.0,166.0,128.75355529785156,37297
182.0,252.0,177.0,242.0,187.700927734375,42863
260.0,262.0,236.0,260.0,201.6621551513672,38531
272.0,274.0,244.0,250.0,193.90594482421875,11047
248.0,268.0,190.0,258.0,200.11087036132812,19303
272.0,298.0,216.0,221.0,171.41282653808594,25997
240.0,240.0,224.0,234.0,181.4959259033203,21797
236.0,269.0,228.0,264.0,204.76461791992188,17800
265.5,272.0,260.0,270.0,209.41836547851562,19788
267.5,272.0,252.0,272.0,210.96969604492188,13225
271.0,308.0,270.0,290.0,224.93084716796875,8788
291.5,292.0,276.0,288.0,223.37957763671875,3381
286.0,300.0,276.0,286.0,221.82835388183594,7650
292.0,328.0,280.0,312.0,241.99461364746094,10488
311.5,336.0,306.0,312.0,241.99461364746094,11591
311.5,316.0,284.0,296.0,229.58468627929688,7863
287.0,302.0,287.0,292.0,226.4821014404297,7700
296.0,300.0,278.0,284.0,220.27708435058594,9731
288.0,288.0,280.0,284.0,220.27708435058594,6675
284.0,284.0,241.0,258.0,200.11087036132812,20909
240.0,256.0,240.0,253.0,196.23277282714844,12606
244.5,248.0,238.0,238.0,184.5984344482422,18113
222.0,226.0,218.0,226.0,175.29092407226562,13725
225.0,234.0,208.0,212.0,164.43218994140625,15722
220.0,222.0,202.0,202.0,156.67599487304688,20422
208.5,212.0,200.0,203.0,157.45159912109375,3903
219.0,220.0,204.0,212.0,164.43218994140625,14125
209.0,210.0,202.0,202.0,156.67599487304688,5497
203.0,208.0,198.0,198.0,153.57350158691406,8266
200.0,200.0,192.0,192.0,148.91976928710938,11475
194.5,196.0,192.0,193.0,149.69537353515625,1819
204.0,212.0,190.0,192.0,148.91976928710938,5253
196.0,196.0,172.0,174.0,134.95849609375,3931
174.0,178.0,144.0,156.0,120.99730682373047,17034
152.0,155.0,136.0,140.0,108.58731079101562,10675
140.0,162.0,139.0,154.0,119.44606018066406,6878
155.0,164.0,155.0,158.0,122.5485610961914,2400
162.5,166.0,156.0,162.0,125.65106201171875,4709
161.0,162.0,146.0,154.0,119.44606018066406,5175
153.0,166.0,144.0,144.0,111.68978881835938,13638
152.0,192.0,152.0,176.0,136.50975036621094,5741
177.0,186.0,176.0,176.0,136.50975036621094,2597
181.5,234.0,176.0,212.0,164.43218994140625,10088
235.5,244.0,220.0,226.0,175.29092407226562,6697
233.5,234.0,218.0,224.0,173.73968505859375,4953
222.5,225.5,214.0,214.0,165.98345947265625,2538
227.0,228.0,180.0,187.0,145.04159545898438,3103
173.0,190.0,164.0,178.0,138.06100463867188,5059
176.0,178.5,150.0,156.0,120.99730682373047,8256
144.0,148.0,126.0,130.0,100.8310775756836,16756
146.5,148.0,128.0,128.0,99.27982330322266,14159
130.0,142.0,122.0,126.0,97.72855377197266,10953
126.0,128.0,112.0,122.0,94.6260757446289,6916
120.0,122.0,104.0,112.0,86.86984252929688,30813
111.0,152.0,110.0,140.0,108.58731079101562,16788
141.5,142.0,108.0,114.0,88.42108154296875,13525
110.0,144.0,104.0,116.0,89.97234344482422,26134
125.5,134.0,112.0,116.0,89.97234344482422,9791
