Open,High,Low,Close,Adj Close,Volume,Date
8.5,8.75,7.75,7.9375,4.647451400756836,902000,06/17/1992
7.9375,7.9375,7.5,7.8125,4.574264049530029,421400,06/18/1992
7.8125,7.9375,7.75,7.875,4.610856533050537,453400,06/19/1992
7.875,7.875,7.5625,7.625,4.464479446411133,597200,06/22/1992
7.625,7.75,7.625,7.6875,4.5010762214660645,853800,06/23/1992
7.6875,7.75,7.5,7.5625,4.42788553237915,357600,06/24/1992
7.6875,7.8125,7.6875,7.6875,4.5010762214660645,785000,06/25/1992
7.6875,7.75,7.625,7.75,4.537669658660889,435000,06/26/1992
7.6875,7.8125,7.625,7.8125,4.574264049530029,386600,06/29/1992
7.8125,8.0625,7.8125,8.0625,4.720639228820801,884400,06/30/1992
7.875,7.9375,7.8125,7.875,4.610856533050537,552600,07/01/1992
7.9375,8.0625,7.6875,8.0625,4.720639228820801,1788200,07/02/1992
7.9375,7.9375,7.6875,7.75,4.537669658660889,580400,07/06/1992
7.8125,7.8125,7.1875,7.3125,4.281510829925537,1147000,07/07/1992
7.375,7.375,6.8125,6.9375,4.06194543838501,1192800,07/08/1992
6.9375,7.3125,6.9375,7.3125,4.281510829925537,2136600,07/09/1992
7.1875,7.25,7.0625,7.125,4.171726703643799,866200,07/10/1992
7.125,7.25,7.125,7.1875,4.208321571350098,846600,07/13/1992
7.125,7.25,7.125,7.25,4.2449164390563965,990000,07/14/1992
7.25,7.375,7.25,7.3125,4.281510829925537,1080400,07/15/1992
7.25,7.3125,7.125,7.1875,4.208321571350098,2689000,07/16/1992
7.0625,7.3125,7.0625,7.3125,4.281510829925537,840400,07/17/1992
6.9375,7.1875,6.875,7.125,4.171726703643799,1228200,07/20/1992
7.0,7.25,7.0,7.125,4.171726703643799,1279600,07/21/1992
6.9375,7.5625,6.9375,7.375,4.318105697631836,2743000,07/22/1992
7.3125,7.5,7.3125,7.3125,4.281510829925537,2203800,07/23/1992
7.25,7.5,7.25,7.4375,4.3546977043151855,1404000,07/24/1992
7.4375,7.5625,7.3125,7.5,4.391291618347168,1308000,07/27/1992
7.4375,7.5625,7.375,7.5,4.391291618347168,1134400,07/28/1992
7.5,7.5625,7.25,7.375,4.318105697631836,1697600,07/29/1992
7.4375,7.5,7.25,7.5,4.391291618347168,912800,07/30/1992
7.4375,7.5625,7.4375,7.5625,4.42788553237915,1303000,07/31/1992
7.5,7.6875,7.4375,7.6875,4.5010762214660645,1616800,08/03/1992
7.6875,7.8125,7.6875,7.75,4.537669658660889,1457000,08/04/1992
7.75,7.8125,7.75,7.75,4.537669658660889,492000,08/05/1992
7.6875,7.75,7.5,7.625,4.464479446411133,1277800,08/06/1992
7.4375,7.5625,7.4375,7.5,4.391291618347168,306200,08/07/1992
7.3125,7.5,7.25,7.4375,4.3546977043151855,593000,08/10/1992
7.4375,7.4375,7.25,7.25,4.2449164390563965,1804800,08/11/1992
7.4375,7.5,7.125,7.25,4.2449164390563965,1591600,08/12/1992
7.3125,7.5625,7.3125,7.5,4.391291618347168,1100600,08/13/1992
7.5,7.9375,7.5,7.875,4.610856533050537,1476600,08/14/1992
7.75,8.0,7.75,7.9375,4.647451400756836,1461000,08/17/1992
8.0,8.1875,7.9375,8.0,4.684042930603027,1660200,08/18/1992
8.0,8.125,7.875,7.9375,4.647451400756836,928000,08/19/1992
8.0,8.0625,8.0,8.0625,4.720639228820801,370400,08/20/1992
8.0,8.3125,8.0,8.25,4.830420017242432,3771600,08/21/1992
7.9375,8.1875,7.9375,8.0625,4.720639228820801,2085000,08/24/1992
8.125,8.1875,7.9375,8.125,4.757233142852783,1168800,08/25/1992
8.0625,8.1875,8.0,8.1875,4.793827056884766,1347000,08/26/1992
8.1875,8.25,8.125,8.125,4.757233142852783,764400,08/27/1992
8.0625,8.125,8.0,8.0625,4.720639228820801,516800,08/28/1992
8.125,8.125,8.0625,8.0625,4.720639228820801,304000,08/31/1992
8.0,8.125,7.9375,8.0,4.702125072479248,1067400,09/01/1992
7.9375,8.0,7.8125,7.875,4.628653526306152,1153600,09/02/1992
7.875,7.9375,7.8125,7.8125,4.591920852661133,474800,09/03/1992
7.875,7.875,7.6875,7.6875,4.518448829650879,461600,09/04/1992
7.75,7.8125,7.6875,7.6875,4.518448829650879,693800,09/08/1992
7.75,7.9375,7.75,7.9375,4.665390968322754,474200,09/09/1992
8.0,8.0625,7.875,7.9375,4.665390968322754,867200,09/10/1992
8.0,8.0625,7.875,7.9375,4.665390968322754,856600,09/11/1992
8.0625,8.25,8.0625,8.25,4.849064350128174,1092800,09/14/1992
8.0625,8.1875,8.0625,8.0625,4.738860130310059,1036400,09/15/1992
8.0,8.125,7.875,8.125,4.775596618652344,864000,09/16/1992
8.125,8.125,8.0,8.125,4.775596618652344,660000,09/17/1992
8.125,8.1875,8.0625,8.1875,4.812328338623047,1351400,09/18/1992
8.125,8.1875,8.0625,8.125,4.775596618652344,491200,09/21/1992
8.125,8.1875,8.0625,8.0625,4.738860130310059,1030000,09/22/1992
8.0,8.0625,7.8125,7.9375,4.665390968322754,714800,09/23/1992
7.9375,8.1875,7.9375,8.125,4.775596618652344,639400,09/24/1992
8.125,8.125,8.0,8.125,4.775596618652344,438800,09/25/1992
8.0625,8.1875,8.0625,8.1875,4.812328338623047,217600,09/28/1992
8.1875,8.1875,8.0625,8.0625,4.738860130310059,313000,09/29/1992
8.125,8.125,7.9375,8.0,4.702125072479248,675200,09/30/1992
7.9375,8.0,7.75,7.875,4.628653526306152,727800,10/01/1992
7.875,8.0,7.75,7.875,4.628653526306152,376000,10/02/1992
7.8125,7.875,7.4375,7.8125,4.591920852661133,815800,10/05/1992
7.75,7.8125,7.5,7.75,4.555185794830322,600800,10/06/1992
