Open,High,Low,Close,Adj Close,Volume
19.25,19.375,19.25,19.25,3.8494338989257812,1381000
19.25,19.375,19.25,19.375,3.8744313716888428,136800
19.25,19.375,18.625,18.75,3.7494497299194336,182600
18.5,19.0,18.375,18.875,3.774445056915283,146300
18.75,18.875,18.75,18.75,3.7494497299194336,48300
18.75,18.875,18.75,18.75,3.7494497299194336,13900
18.75,18.875,18.75,18.875,3.774445056915283,22800
18.875,19.0,18.75,18.75,3.7494497299194336,10600
18.875,19.0,18.875,18.875,3.774445056915283,143900
18.875,18.875,18.875,18.875,3.774445056915283,29800
18.875,19.0,18.875,19.0,3.7994418144226074,10500
18.75,18.75,18.375,18.5,3.699456214904785,181600
18.375,18.5,18.375,18.375,3.6744601726531982,33400
18.5,18.5,18.25,18.25,3.649462938308716,73900
18.25,18.25,17.625,17.625,3.524482250213623,75900
17.0,17.125,16.375,16.875,3.374504566192627,126700
16.625,16.875,16.5,16.875,3.374504566192627,32100
16.75,17.125,16.75,17.125,3.42449688911438,20300
16.875,17.125,16.875,16.875,3.374504566192627,9800
17.0,17.0,17.0,17.0,3.3994994163513184,2500
17.125,17.125,16.875,17.125,3.42449688911438,48100
17.125,17.25,16.875,17.125,3.42449688911438,38500
17.125,17.125,17.0,17.0,3.3994994163513184,12700
17.0,17.125,16.875,17.125,3.42449688911438,14800
17.125,17.625,17.125,17.5,3.4994852542877197,19600
17.5,17.5,17.25,17.5,3.4994852542877197,6000
17.5,17.5,17.0,17.25,3.449492931365967,25100
17.25,17.25,16.875,17.125,3.42449688911438,8500
17.25,17.25,16.625,16.875,3.374504566192627,10600
16.875,16.875,16.75,16.875,3.374504566192627,9500
16.625,16.625,16.375,16.5,3.2995166778564453,69000
16.625,17.0,16.5,16.75,3.3495075702667236,18000
16.625,16.875,16.5,16.625,3.3245115280151367,36100
16.625,16.625,16.5,16.5,3.2995166778564453,7900
16.5,16.625,16.375,16.5,3.2995166778564453,9600
16.5,16.5,15.75,16.0,3.199531078338623,58500
15.75,16.25,15.75,16.125,3.2245256900787354,54400
16.25,16.5,16.25,16.5,3.2995166778564453,21800
16.75,16.75,16.5,16.625,3.3245115280151367,12200
16.75,16.875,16.75,16.75,3.3495075702667236,35500
16.875,16.875,16.75,16.75,3.3495075702667236,49500
16.75,16.875,16.625,16.625,3.3245115280151367,23600
16.625,16.875,16.5,16.75,3.3495075702667236,66700
16.875,16.875,16.5,16.625,3.3245115280151367,41100
16.75,16.875,16.75,16.875,3.374504566192627,1900
17.0,17.0,16.875,16.875,3.374504566192627,10100
16.875,17.0,16.75,16.875,3.374504566192627,18500
16.75,16.75,16.625,16.75,3.3495075702667236,15100
16.625,17.0,16.625,16.875,3.374504566192627,18000
17.0,17.625,17.0,17.625,3.524482250213623,18600
17.625,17.75,17.5,17.75,3.5494792461395264,6300
17.75,18.0,17.75,17.875,3.5744729042053223,17700
17.875,17.875,17.625,17.75,3.5494792461395264,6000
17.75,17.75,17.5,17.5,3.4994852542877197,5600
17.375,17.5,17.375,17.5,3.4994852542877197,12600
17.25,17.375,17.25,17.375,3.4744884967803955,6300
17.5,18.0,17.5,17.875,3.5744729042053223,9900
18.0,18.0,17.5,17.5,3.4994852542877197,13000
17.75,17.875,17.5,17.875,3.5744729042053223,7200
17.875,17.875,17.5,17.625,3.524482250213623,4900
