Open,High,Low,Close,Adj Close,Volume,Date
0.75,0.75,0.65625,0.671875,0.568571925163269,14915200,06/02/1995
0.671875,0.6796879768371582,0.6367189884185791,0.640625,0.5421267747879028,4787200,06/05/1995
0.65625,0.6640629768371582,0.640625,0.640625,0.5421267747879028,4769600,06/06/1995
0.640625,0.640625,0.609375,0.640625,0.5421267747879028,4793600,06/07/1995
0.640625,0.703125,0.625,0.703125,0.5950171947479248,7235200,06/08/1995
0.703125,0.71875,0.6875,0.703125,0.5950171947479248,4771200,06/09/1995
0.71875,0.71875,0.6875,0.71875,0.6082398891448975,4409600,06/12/1995
0.71875,0.71875,0.6875,0.6875,0.5817945003509521,2212800,06/13/1995
0.703125,0.703125,0.6875,0.6875,0.5817945003509521,4632000,06/14/1995
0.703125,0.703125,0.6875,0.6914060115814209,0.5851001739501953,896000,06/15/1995
0.6875,0.703125,0.6875,0.6875,0.5817945003509521,388800,06/16/1995
0.703125,0.703125,0.6875,0.6914060115814209,0.5851001739501953,374400,06/19/1995
0.6875,0.703125,0.6875,0.6875,0.5817945003509521,201600,06/20/1995
0.6875,0.703125,0.6875,0.703125,0.5950171947479248,481600,06/21/1995
0.703125,0.703125,0.6875,0.703125,0.5950171947479248,5576000,06/22/1995
0.6923829913139343,0.75,0.6875,0.75,0.6346849203109741,2844800,06/23/1995
0.703125,0.75,0.703125,0.71875,0.6082398891448975,825600,06/26/1995
0.75,0.75,0.703125,0.75,0.6346849203109741,1020800,06/27/1995
0.703125,0.75,0.703125,0.75,0.6346849203109741,193600,06/28/1995
0.75,0.75,0.703125,0.75,0.6346849203109741,104000,06/29/1995
0.75,0.75,0.75,0.75,0.6346849203109741,14400,06/30/1995
0.75,0.75,0.75,0.75,0.6346849203109741,32000,07/03/1995
0.71875,0.8125,0.71875,0.78125,0.6611301898956299,417600,07/05/1995
0.78125,0.828125,0.78125,0.828125,0.7007980942726135,691200,07/06/1995
0.796875,0.890625,0.796875,0.859375,0.7272434234619141,1740800,07/07/1995
0.875,0.90625,0.859375,0.875,0.7404659390449524,1068800,07/10/1995
0.90625,0.90625,0.8125,0.8125,0.6875754594802856,432000,07/11/1995
0.84375,0.875,0.84375,0.875,0.7404659390449524,708800,07/12/1995
0.875,0.875,0.84375,0.875,0.7404659390449524,337600,07/13/1995
0.875,0.890625,0.875,0.890625,0.7536882758140564,513600,07/14/1995
0.859375,0.890625,0.859375,0.890625,0.7536882758140564,60800,07/17/1995
0.890625,0.890625,0.828125,0.875,0.7404659390449524,192000,07/18/1995
0.875,0.875,0.796875,0.828125,0.7007980942726135,332800,07/19/1995
0.828125,0.828125,0.828125,0.828125,0.7007980942726135,0,07/20/1995
0.828125,0.828125,0.796875,0.8007810115814209,0.677658200263977,176000,07/21/1995
0.78125,0.828125,0.78125,0.828125,0.7007980942726135,3200,07/24/1995
