Open,High,Low,Close,Adj Close,Volume,Date
9.0625,9.3125,8.125,8.875,8.521978378295898,5718100,06/16/1999
8.75,8.875,7.75,8.6875,8.341936111450195,542200,06/17/1999
8.5625,9.125,8.5625,9.0,8.642005920410156,557600,06/18/1999
9.0625,9.75,9.0,9.25,8.882061958312988,218000,06/21/1999
9.0625,9.5,9.0,9.0625,8.702020645141602,281400,06/22/1999
9.0,9.5,9.0,9.375,9.002090454101562,395200,06/23/1999
9.375,9.625,9.0,9.125,8.762035369873047,238100,06/24/1999
9.125,9.21875,9.0,9.1875,8.82204818725586,172400,06/25/1999
9.0,9.375,9.0,9.25,8.882061958312988,81400,06/28/1999
9.375,10.25,9.25,9.375,9.002090454101562,321500,06/29/1999
9.375,10.125,9.375,9.6875,9.302160263061523,429900,06/30/1999
9.8125,10.375,9.5,9.9375,9.542215347290039,363500,07/01/1999
10.125,10.875,10.125,10.875,10.442425727844238,460800,07/02/1999
10.875,11.0,10.5,10.6875,10.262382507324219,565900,07/06/1999
10.6875,11.125,10.375,10.875,10.442425727844238,270500,07/07/1999
11.75,13.0,11.375,12.25,11.762733459472656,1793800,07/08/1999
12.25,13.75,12.1875,13.5,12.963007926940918,1738400,07/09/1999
14.0,15.375,13.625,14.8125,14.223301887512207,5465000,07/12/1999
15.3125,15.3125,12.625,13.375,12.84298038482666,2568600,07/13/1999
13.75,13.75,11.875,13.375,12.84298038482666,970700,07/14/1999
13.8125,14.0,12.75,13.125,12.602927207946777,572700,07/15/1999
13.375,14.25,13.1875,14.0,13.443120956420898,793100,07/16/1999
14.25,14.375,13.5,14.0,13.443120956420898,336500,07/19/1999
14.0,14.0625,12.5,12.9375,12.422883987426758,324300,07/20/1999
13.0,13.3125,12.5,12.5,12.002787590026855,237600,07/21/1999
12.75,12.75,11.875,12.0,11.522672653198242,165100,07/22/1999
12.125,12.25,11.0,11.5,11.042559623718262,178500,07/23/1999
11.5,11.5,9.75,10.375,9.962313652038574,363400,07/26/1999
10.40625,10.875,9.875,10.375,9.962313652038574,312600,07/27/1999
10.5625,11.875,10.25,11.25,10.802507400512695,176700,07/28/1999
11.0,11.75,10.5625,11.375,10.922533988952637,165400,07/29/1999
11.375,12.0625,10.5,11.125,10.682479858398438,237500,07/30/1999
11.5,13.25,10.875,11.25,10.802507400512695,503900,08/02/1999
11.75,12.5,11.625,12.125,11.642702102661133,265300,08/03/1999
12.0,12.0625,11.25,11.5,11.042559623718262,186900,08/04/1999
11.375,11.625,10.25,11.625,11.162591934204102,188600,08/05/1999
11.5,11.5,10.5,11.0,10.562454223632812,77400,08/06/1999
11.0625,11.4375,9.875,10.0,9.602229118347168,105900,08/09/1999
9.875,10.25,9.0625,9.15625,8.792041778564453,369700,08/10/1999
9.5,10.0,9.125,9.875,9.482200622558594,351000,08/11/1999
10.4375,11.5,10.0,10.9375,10.502437591552734,413900,08/12/1999
11.375,11.625,10.625,11.0,10.562454223632812,275600,08/13/1999
11.25,11.25,10.75,10.875,10.442425727844238,98900,08/16/1999
11.0,11.5,10.875,11.5,11.042559623718262,149100,08/17/1999
11.5,11.625,10.9375,10.9375,10.502437591552734,100300,08/18/1999
10.96875,11.3125,10.75,11.125,10.682479858398438,39200,08/19/1999
11.25,11.375,11.0,11.25,10.802507400512695,42400,08/20/1999
11.4375,11.5,10.875,10.9375,10.502437591552734,65000,08/23/1999
11.25,11.25,10.625,11.125,10.682479858398438,108000,08/24/1999
10.875,11.25,10.875,11.0,10.562454223632812,112800,08/25/1999
11.09375,11.09375,10.75,10.9375,10.502437591552734,135500,08/26/1999
10.9375,11.0625,10.625,10.9375,10.502437591552734,434800,08/27/1999
11.0,11.25,10.875,11.0,10.562454223632812,88500,08/30/1999
11.0,11.4375,10.8125,11.4375,10.982550621032715,153000,08/31/1999
11.4375,11.9375,11.125,11.25,10.802507400512695,87000,09/01/1999
11.25,11.375,10.8125,11.0625,10.622464179992676,80800,09/02/1999
11.21875,11.75,11.0,11.75,11.28261947631836,91900,09/03/1999
12.0,12.0625,11.25,11.3125,10.86252212524414,58300,09/07/1999
11.375,11.4375,11.25,11.375,10.922533988952637,96100,09/08/1999
11.40625,12.625,11.3125,12.5,12.002787590026855,179900,09/09/1999
12.5,13.5,12.3125,12.5625,12.062798500061035,249300,09/10/1999
12.8125,12.9375,11.8125,12.4375,11.942771911621094,363900,09/13/1999
12.5,13.0,12.25,13.0,12.482897758483887,238300,09/14/1999
12.9375,13.5,12.875,13.375,12.84298038482666,271500,09/15/1999
13.71875,13.75,13.125,13.1875,12.66294002532959,159600,09/16/1999
13.3125,13.75,13.125,13.75,13.203064918518066,199700,09/17/1999
13.6875,13.6875,12.5,12.9375,12.422883987426758,90500,09/20/1999
12.84375,13.1875,12.375,12.625,12.12281322479248,129200,09/21/1999
12.71875,13.5625,12.6875,13.4375,12.902994155883789,92200,09/22/1999
13.0625,13.5,12.625,12.8125,12.302854537963867,146000,09/23/1999
12.875,13.0,12.25,12.375,11.882757186889648,148000,09/24/1999
12.71875,13.25,12.0,12.6875,12.18282699584961,127500,09/27/1999
12.09375,12.6875,11.75,12.25,11.762733459472656,85200,09/28/1999
