Open,High,Low,Close,Adj Close,Volume,Date
1.8125,2.0625,1.8125,2.0625,1.5261932611465454,3012000,06/01/1992
2.0625,2.125,2.0,2.09375,1.549317717552185,1220800,06/02/1992
2.125,2.4375,2.0625,2.4375,1.8036830425262451,1423200,06/03/1992
2.5625,2.5625,2.375,2.4375,1.8036830425262451,883200,06/04/1992
2.4375,2.4375,2.125,2.3125,1.711186170578003,413600,06/05/1992
2.3125,2.3125,2.1875,2.3125,1.711186170578003,307200,06/08/1992
2.3125,2.3125,1.9375,2.0,1.4799445867538452,175200,06/09/1992
2.0,2.1875,2.0,2.1875,1.618690013885498,70400,06/10/1992
2.1875,2.1875,2.0625,2.1875,1.618690013885498,120800,06/11/1992
2.25,2.3125,2.1875,2.3125,1.711186170578003,151600,06/12/1992
2.3125,2.375,2.25,2.375,1.7574348449707031,238800,06/15/1992
2.375,2.375,2.21875,2.3125,1.711186170578003,165200,06/16/1992
2.125,2.25,1.9375,2.0,1.4799445867538452,322800,06/17/1992
2.0625,2.125,1.9375,1.96875,1.456821084022522,112000,06/18/1992
2.0625,2.125,2.0625,2.125,1.5724416971206665,26800,06/19/1992
2.125,2.125,1.9375,2.0,1.4799445867538452,94800,06/22/1992
2.125,2.125,2.0625,2.125,1.5724416971206665,63200,06/23/1992
2.125,2.125,2.0,2.0,1.4799445867538452,549600,06/24/1992
2.1875,2.1875,2.0625,2.125,1.5724416971206665,110800,06/25/1992
2.1875,2.1875,2.0625,2.1875,1.618690013885498,20000,06/26/1992
2.1875,2.3125,2.125,2.3125,1.711186170578003,59600,06/29/1992
2.3125,2.3125,2.21875,2.3125,1.711186170578003,26800,06/30/1992
2.3125,2.4375,2.25,2.3125,1.711186170578003,644800,07/01/1992
2.4375,2.4375,1.96875,2.0625,1.5261932611465454,1184400,07/02/1992
2.125,2.125,2.0,2.125,1.5724416971206665,66400,07/06/1992
2.125,2.125,1.9375,1.9375,1.4336966276168823,70000,07/07/1992
2.0,2.0,1.875,2.0,1.4799445867538452,523200,07/08/1992
2.0625,2.0625,2.0,2.0625,1.5261932611465454,15600,07/09/1992
2.0625,2.1875,2.0625,2.1875,1.618690013885498,27200,07/10/1992
2.1875,2.1875,2.125,2.1875,1.618690013885498,42000,07/13/1992
2.125,2.1875,2.0625,2.1875,1.618690013885498,122000,07/14/1992
2.1875,2.375,2.125,2.1875,1.618690013885498,91200,07/15/1992
2.375,2.375,2.1875,2.1875,1.618690013885498,23600,07/16/1992
2.1875,2.375,2.1875,2.3125,1.711186170578003,44000,07/17/1992
2.25,2.3125,2.1875,2.3125,1.711186170578003,47200,07/20/1992
2.375,2.5,2.25,2.4375,1.8036830425262451,382800,07/21/1992
2.4375,2.4375,2.25,2.25,1.6649383306503296,113200,07/22/1992
2.1875,2.3125,2.1875,2.21875,1.64181387424469,56400,07/23/1992
2.25,2.25,2.125,2.25,1.6649383306503296,82000,07/24/1992
2.25,2.3125,2.1875,2.1875,1.618690013885498,38800,07/27/1992
2.25,2.4375,2.25,2.4375,1.8036830425262451,144000,07/28/1992
2.4375,2.5625,2.3125,2.5,1.8499315977096558,251200,07/29/1992
2.5625,2.625,2.375,2.5625,1.8961800336837769,152000,07/30/1992
2.625,2.625,2.5,2.5625,1.8961800336837769,216800,07/31/1992
2.5625,2.625,2.5,2.625,1.9424285888671875,206400,08/03/1992
2.5,2.625,2.5,2.5,1.8499315977096558,29600,08/04/1992
2.5,2.75,2.5,2.6875,1.9886765480041504,188000,08/05/1992
2.6875,2.6875,2.625,2.625,1.9424285888671875,86000,08/06/1992
2.6875,2.75,2.5625,2.65625,1.9655511379241943,72400,08/07/1992
2.6875,2.6875,2.6875,2.6875,1.9886765480041504,10400,08/10/1992
2.6875,2.75,2.5625,2.625,1.9424285888671875,67600,08/11/1992
2.6875,2.6875,2.5625,2.5625,1.8961800336837769,65200,08/12/1992
2.5625,2.625,2.5625,2.625,1.9424285888671875,36400,08/13/1992
2.625,2.625,2.5625,2.5625,1.8961800336837769,6400,08/14/1992
2.625,2.6875,2.5625,2.6875,1.9886765480041504,48400,08/17/1992
2.6875,2.75,2.625,2.75,2.0349249839782715,44800,08/18/1992
2.75,2.75,2.625,2.75,2.0349249839782715,198800,08/19/1992
2.8125,2.8125,2.6875,2.6875,1.9886765480041504,78800,08/20/1992
2.75,2.75,2.5,2.625,1.9424285888671875,215600,08/21/1992
2.5625,2.5625,2.5,2.5625,1.8961800336837769,26400,08/24/1992
2.5625,2.625,2.53125,2.625,1.9424285888671875,46800,08/25/1992
2.625,2.625,2.375,2.5,1.8499315977096558,207200,08/26/1992
2.5625,2.6875,2.5,2.625,1.9424285888671875,242800,08/27/1992
2.6875,2.8125,2.5625,2.8125,2.0811727046966553,282800,08/28/1992
2.8125,2.875,2.75,2.8125,2.0811727046966553,62800,08/31/1992
2.8125,2.875,2.75,2.875,2.1274211406707764,192800,09/01/1992
2.875,2.875,2.75,2.8125,2.0811727046966553,119200,09/02/1992
2.9375,3.125,2.8125,3.0,2.2199175357818604,586800,09/03/1992
3.0,3.25,2.9375,3.25,2.404910087585449,208800,09/04/1992
3.25,3.3125,3.125,3.1875,2.3586628437042236,592400,09/08/1992
2.8125,3.125,2.8125,3.125,2.3124146461486816,194000,09/09/1992
3.0625,3.0625,2.9375,3.0,2.2199175357818604,271200,09/10/1992
3.0,3.0625,3.0,3.0,2.2199175357818604,93200,09/11/1992
3.0,3.1875,3.0,3.0625,2.2661662101745605,172000,09/14/1992
3.125,3.25,3.0,3.125,2.3124146461486816,107600,09/15/1992
3.0625,3.5625,3.0625,3.25,2.404910087585449,346000,09/16/1992
3.25,3.4375,3.25,3.4375,2.54365611076355,313600,09/17/1992
3.4375,3.4375,3.1875,3.1875,2.3586628437042236,362000,09/18/1992
3.3125,3.375,3.1875,3.375,2.4974071979522705,486400,09/21/1992
3.375,3.375,3.1875,3.25,2.404910087585449,216000,09/22/1992
3.3125,3.3125,3.0625,3.125,2.3124146461486816,957600,09/23/1992
3.1875,3.25,3.125,3.21875,2.381786584854126,179600,09/24/1992
3.25,3.25,3.0625,3.1875,2.3586628437042236,196000,09/25/1992
3.0,3.125,3.0,3.09375,2.289289712905884,206000,09/28/1992
3.0625,3.125,3.0,3.0625,2.2661662101745605,124800,09/29/1992
3.0625,3.0625,2.90625,2.9375,2.1736690998077393,369200,09/30/1992
2.9375,3.0,2.75,2.8125,2.0811727046966553,472800,10/01/1992
2.875,2.875,2.6875,2.75,2.0349249839782715,407200,10/02/1992
2.8125,2.8125,2.4375,2.6875,1.9886765480041504,348400,10/05/1992
