Open,High,Low,Close,Adj Close,Volume,Date
8.4375,8.4375,8.4375,8.4375,8.4375,60000,11/23/1999
8.4375,10.6875,8.4375,10.5,10.5,917700,11/24/1999
10.5,10.5,10.5,10.5,10.5,32700,11/26/1999
10.625,10.625,9.25,9.25,9.25,511000,11/29/1999
9.375,9.375,8.5,8.8125,8.8125,2424000,11/30/1999
9.0,10.5,9.0,9.625,9.625,462000,12/01/1999
10.0,10.0,9.25,9.375,9.375,799500,12/02/1999
9.5,9.625,9.3125,9.4375,9.4375,292300,12/03/1999
9.375,9.6875,9.1875,9.25,9.25,239100,12/06/1999
9.1875,9.25,8.875,8.9375,8.9375,753300,12/07/1999
9.0625,9.625,8.9375,9.0,9.0,294100,12/08/1999
9.0,9.0,8.0625,8.375,8.375,801700,12/09/1999
8.1875,8.3125,8.0625,8.0625,8.0625,574400,12/10/1999
8.0625,8.125,7.9375,7.9375,7.9375,748300,12/13/1999
7.9375,8.0,7.8125,7.9375,7.9375,84700,12/14/1999
7.9375,8.375,7.875,8.0625,8.0625,275500,12/15/1999
8.1875,8.5,8.1875,8.3125,8.3125,150900,12/16/1999
8.3125,8.5,8.3125,8.375,8.375,178700,12/17/1999
8.375,8.625,8.3125,8.4375,8.4375,369700,12/20/1999
8.6875,8.6875,8.375,8.375,8.375,86900,12/21/1999
9.125,9.125,8.625,8.75,8.75,521400,12/22/1999
8.75,9.1875,8.75,8.875,8.875,148600,12/23/1999
8.875,9.25,8.875,9.0,9.0,57400,12/27/1999
8.9375,9.1875,8.75,9.1875,9.1875,262700,12/28/1999
9.25,9.625,9.1875,9.375,9.375,233600,12/29/1999
9.6875,10.125,8.875,9.25,9.25,1056000,12/30/1999
9.25,9.75,9.25,9.4375,9.4375,263000,12/31/1999
9.5625,9.625,9.3125,9.375,9.375,315400,01/03/2000
9.375,9.375,8.9375,9.125,9.125,444300,01/04/2000
9.0625,9.6875,9.0625,9.5,9.5,109100,01/05/2000
9.625,9.625,9.125,9.25,9.25,120700,01/06/2000
9.5625,9.625,9.375,9.5625,9.5625,222100,01/07/2000
9.5625,9.8125,9.5,9.75,9.75,97500,01/10/2000
9.5,9.5625,9.125,9.375,9.375,290600,01/11/2000
9.375,9.5,9.3125,9.375,9.375,60300,01/12/2000
9.25,9.375,9.1875,9.25,9.25,82400,01/13/2000
9.25,9.625,9.1875,9.5625,9.5625,36100,01/14/2000
9.5625,9.875,9.4375,9.625,9.625,72300,01/18/2000
9.75,10.0,9.5625,9.6875,9.6875,429300,01/19/2000
9.6875,9.75,9.25,9.4375,9.4375,21800,01/20/2000
9.375,9.75,9.375,9.75,9.75,16100,01/21/2000
9.9375,10.0,9.625,9.625,9.625,122900,01/24/2000
9.75,9.8125,9.5,9.5625,9.5625,40200,01/25/2000
9.6875,9.875,9.5625,9.5625,9.5625,65500,01/26/2000
9.6875,10.0625,9.6875,9.6875,9.6875,112700,01/27/2000
9.8125,9.9375,9.25,9.25,9.25,247000,01/28/2000
9.375,9.4375,9.1875,9.25,9.25,128200,01/31/2000
9.1875,9.375,9.1875,9.25,9.25,62400,02/01/2000
9.375,9.5,9.1875,9.1875,9.1875,124500,02/02/2000
9.1875,9.1875,9.0,9.1875,9.1875,291200,02/03/2000
9.4375,9.4375,9.0,9.0,9.0,63800,02/04/2000
