Open,High,Low,Close,Adj Close,Volume,Date
14.5,16.125,14.375,15.0,14.790820121765137,1905200,12/18/1997
15.0,15.625,14.6875,15.5,15.283845901489258,275200,12/19/1997
15.5,15.875,15.0,15.0,14.790820121765137,88300,12/22/1997
15.0,15.8125,15.0,15.5,15.283845901489258,74500,12/23/1997
16.0,16.25,16.0,16.25,16.02338981628418,45400,12/24/1997
16.3125,17.0,16.25,17.0,16.762929916381836,45400,12/26/1997
16.75,17.875,16.75,17.8125,17.564098358154297,107100,12/29/1997
17.8125,18.0625,17.5625,17.9375,17.68735694885254,49600,12/30/1997
18.0,19.3125,17.8125,19.3125,19.043180465698242,50800,12/31/1997
20.25,20.25,19.0625,20.0625,19.78272247314453,209500,01/02/1998
20.5,20.75,18.25,18.8125,18.550155639648438,384300,01/05/1998
19.375,19.875,18.625,19.375,19.104808807373047,195600,01/06/1998
19.4375,19.4375,18.375,18.875,18.61178207397461,97700,01/07/1998
19.0,19.1875,18.4375,18.4375,18.180381774902344,61300,01/08/1998
18.6875,18.6875,17.5,18.25,17.995498657226562,101700,01/09/1998
18.25,18.25,17.25,17.8125,17.564098358154297,138500,01/12/1998
19.375,20.0,19.0,19.875,19.597837448120117,297400,01/13/1998
20.3125,20.75,20.0,20.625,20.337379455566406,135600,01/14/1998
20.75,22.5,20.75,21.125,20.83040428161621,219900,01/15/1998
21.375,21.5625,21.125,21.375,21.076919555664062,47300,01/16/1998
21.8125,22.5,21.8125,21.9375,21.631572723388672,60600,01/20/1998
21.9375,23.375,21.9375,22.25,21.939714431762695,89700,01/21/1998
22.375,22.75,22.0,22.0625,21.754831314086914,29500,01/22/1998
22.25,22.25,21.125,21.75,21.44668960571289,48100,01/23/1998
22.25,22.4375,21.5,21.875,21.569944381713867,40000,01/26/1998
22.0,22.375,21.8125,22.1875,21.87808609008789,106600,01/27/1998
22.375,23.25,22.375,23.0,22.679256439208984,44300,01/28/1998
23.125,23.875,23.0,23.625,23.295541763305664,22200,01/29/1998
23.5,24.0,23.25,23.875,23.542055130004883,24000,01/30/1998
25.0,25.0,23.6875,24.5,24.15833854675293,63000,02/02/1998
24.625,24.625,24.1875,24.3125,23.973453521728516,34900,02/03/1998
24.5,25.625,24.375,25.5,25.14439582824707,71900,02/04/1998
24.75,25.25,24.375,24.9375,24.589738845825195,130700,02/05/1998
25.25,25.75,25.25,25.625,25.267650604248047,32000,02/06/1998
26.25,26.5625,25.9375,26.0,25.637420654296875,62100,02/09/1998
26.0,26.625,25.75,26.5,26.130449295043945,80100,02/10/1998
26.625,27.375,26.5,27.125,26.746734619140625,41700,02/11/1998
27.125,27.125,26.5,26.5,26.130449295043945,28400,02/12/1998
26.5,26.875,26.0,26.0625,25.69904899597168,58500,02/13/1998
26.1875,26.875,26.1875,26.875,26.500219345092773,18000,02/17/1998
26.75,26.875,25.8125,25.8125,25.452537536621094,26100,02/18/1998
25.75,25.75,23.75,24.5625,24.219966888427734,76300,02/19/1998
24.5,25.4375,24.5,24.625,24.281597137451172,30600,02/20/1998
24.875,25.5,24.875,25.3125,24.959508895874023,29200,02/23/1998
25.4375,25.5,25.1875,25.1875,24.836252212524414,6400,02/24/1998
25.4375,25.4375,25.0625,25.4375,25.082765579223633,9800,02/25/1998
25.1875,25.25,25.125,25.125,24.774621963500977,2900,02/26/1998
25.25,25.4375,24.6875,24.6875,24.343225479125977,31400,02/27/1998
24.8125,25.25,24.5,24.9375,24.589738845825195,45100,03/02/1998
25.0625,25.625,25.0625,25.5,25.14439582824707,23700,03/03/1998
25.5625,26.375,25.5625,26.375,26.007192611694336,62700,03/04/1998
26.25,26.375,25.5625,25.5625,25.206022262573242,74700,03/05/1998
26.25,26.6875,25.5625,25.5625,25.206022262573242,2289400,03/06/1998
25.5625,26.125,25.375,25.5625,25.206022262573242,463200,03/09/1998
25.625,25.75,25.125,25.125,24.774621963500977,284100,03/10/1998
25.1875,25.3125,24.0,25.125,24.774621963500977,253100,03/11/1998
25.3125,25.625,25.25,25.375,25.021137237548828,242400,03/12/1998
25.5,25.625,25.0,25.5,25.14439582824707,107500,03/13/1998
25.375,25.375,25.0,25.0625,24.712995529174805,64800,03/16/1998
25.1875,25.625,25.0625,25.625,25.267650604248047,266100,03/17/1998
25.375,25.375,24.25,24.25,23.91182518005371,402500,03/18/1998
24.375,25.0,24.375,24.5,24.15833854675293,318000,03/19/1998
24.25,24.25,23.5,23.5,23.172285079956055,273500,03/20/1998
23.5,23.75,21.5,21.9375,21.631572723388672,486500,03/23/1998
22.75,24.375,22.625,24.375,24.03508186340332,391600,03/24/1998
24.5,25.25,24.0625,24.875,24.528108596801758,256600,03/25/1998
24.5,24.625,24.1875,24.25,23.91182518005371,57200,03/26/1998
24.25,25.375,24.25,25.25,24.89788055419922,80500,03/27/1998
25.0,25.0,24.25,24.5625,24.219966888427734,201700,03/30/1998
24.5,26.0,24.5,26.0,25.637420654296875,146300,03/31/1998
26.0,26.0,25.0,25.3125,24.959508895874023,60500,04/01/1998
25.25,25.375,25.0,25.3125,24.959508895874023,79900,04/02/1998
25.3125,26.375,25.3125,25.75,25.390907287597656,173400,04/03/1998
25.9375,25.9375,25.25,25.3125,24.959508895874023,51600,04/06/1998
25.4375,25.4375,24.125,24.375,24.03508186340332,86400,04/07/1998
24.25,24.8125,24.25,24.75,24.40485382080078,81900,04/08/1998
25.0,25.25,24.875,25.125,24.774621963500977,63300,04/09/1998
25.25,26.0625,25.0,25.875,25.514163970947266,84300,04/13/1998
28.75,29.875,27.875,29.875,29.458385467529297,561700,04/14/1998
29.75,30.25,28.75,30.125,29.704896926879883,212200,04/15/1998
30.125,31.625,30.125,31.375,30.93746566772461,154300,04/16/1998
31.125,31.875,31.0625,31.5,31.06072235107422,94200,04/17/1998
31.3125,31.625,30.0,30.25,29.82815170288086,79700,04/20/1998
30.5,31.375,30.25,31.0,30.567691802978516,47200,04/21/1998
31.125,31.75,31.0,31.625,31.18398094177246,42000,04/22/1998
31.75,31.75,30.125,30.5,30.07466697692871,62100,04/23/1998
30.4375,30.5,29.375,30.5,30.07466697692871,112600,04/24/1998
29.75,30.5,29.1875,30.5,30.07466697692871,65700,04/27/1998
33.75,34.125,33.25,34.0625,33.58748245239258,321000,04/28/1998
34.5,35.3125,34.25,34.5,34.018882751464844,215300,04/29/1998
34.625,35.9375,34.4375,34.4375,33.95726013183594,108700,04/30/1998
34.4375,34.8125,34.4375,34.5,34.018882751464844,36400,05/01/1998
34.625,35.1875,34.5,34.625,34.14214324951172,314200,05/04/1998
34.625,35.375,34.5,35.125,34.635169982910156,57000,05/05/1998
35.125,35.5,35.0,35.5,35.00494384765625,464800,05/06/1998
35.375,35.75,34.875,34.875,34.3886604309082,30900,05/07/1998
35.0,35.5,34.9375,35.5,35.00494384765625,38200,05/08/1998
35.75,37.25,35.75,36.5625,36.05262756347656,103000,05/11/1998
36.75,36.9375,36.5,36.5625,36.05262756347656,39000,05/12/1998
36.5,37.25,36.5,37.0,36.48402404785156,281400,05/13/1998
37.0,37.0,36.0,36.25,35.74448013305664,88100,05/14/1998
36.25,36.3125,36.125,36.125,35.6212272644043,87200,05/15/1998
35.875,35.875,33.75,33.75,33.27934646606445,220400,05/18/1998
34.0,34.5,33.0,33.75,33.27934646606445,135400,05/19/1998
33.875,34.0,33.5,33.9375,33.464229583740234,120600,05/20/1998
34.0,34.0,33.6875,33.9375,33.464229583740234,31400,05/21/1998
34.0,34.0,33.875,33.9375,33.464229583740234,23100,05/22/1998
34.0,35.625,34.0,35.25,34.758426666259766,140300,05/26/1998
35.25,35.375,34.46875,34.5,34.018882751464844,51700,05/27/1998
34.5,34.625,34.125,34.125,33.64911651611328,54900,05/28/1998
34.125,34.625,34.125,34.5,34.018882751464844,29200,05/29/1998
34.5,34.9375,34.4375,34.9375,34.45028305053711,17400,06/01/1998
35.0,35.25,34.6875,35.0,34.51191329956055,18400,06/02/1998
35.0,36.0,35.0,36.0,35.49796676635742,95300,06/03/1998
35.875,36.0,35.875,36.0,35.49796676635742,149600,06/04/1998
36.1875,36.4375,35.375,35.4375,34.94331359863281,56000,06/05/1998
35.5,35.75,35.1875,35.375,34.881683349609375,51200,06/08/1998
35.625,35.75,35.5,35.75,35.2514533996582,99800,06/09/1998
35.75,35.75,35.3125,35.4375,34.94331359863281,14600,06/10/1998
35.4375,35.4375,34.875,35.0,34.51191329956055,23000,06/11/1998
35.0,35.0625,34.0,34.3125,33.83399963378906,37700,06/12/1998
34.0,34.0,32.875,33.375,32.909576416015625,37300,06/15/1998
36.5,38.0,35.75,35.75,35.2514533996582,2313200,06/16/1998
35.75,36.5,35.75,36.375,35.86773681640625,808600,06/17/1998
36.375,36.375,35.5,35.875,35.37471389770508,470900,06/18/1998
35.9375,36.0625,35.75,36.0,35.49796676635742,155000,06/19/1998
36.0,36.375,35.9375,36.375,35.86773681640625,109000,06/22/1998
36.375,37.375,36.3125,37.0625,36.545654296875,375500,06/23/1998
37.125,37.4375,36.9375,37.21875,36.6997184753418,162000,06/24/1998
37.625,38.875,37.5,38.875,38.33287811279297,92900,06/25/1998
38.875,39.6875,38.875,39.625,39.072418212890625,105400,06/26/1998
39.75,41.25,39.75,41.125,40.5515022277832,210600,06/29/1998
41.0,42.0,40.8125,42.0,41.41429901123047,267800,06/30/1998
42.0,42.0,41.125,41.75,41.16778564453125,56800,07/01/1998
41.75,41.75,41.625,41.6875,41.10615921020508,9900,07/02/1998
41.9375,42.625,41.9375,42.1875,41.59918212890625,88500,07/06/1998
42.4375,44.3125,42.375,43.875,43.263145446777344,155000,07/07/1998
44.0,45.375,44.0,45.375,44.74222946166992,134700,07/08/1998
45.625,45.75,45.125,45.25,44.61897277832031,145300,07/09/1998
45.25,45.25,44.0,44.4375,43.81780242919922,131800,07/10/1998
44.6875,46.75,44.6875,46.0625,45.420143127441406,159100,07/13/1998
45.875,45.9375,44.9375,45.0,44.372459411621094,144500,07/14/1998
45.0,45.25,45.0,45.1875,44.55734634399414,86500,07/15/1998
45.0625,46.1875,45.0,45.9375,45.2968864440918,123100,07/16/1998
45.9375,46.5625,45.8125,46.4375,45.789913177490234,154600,07/17/1998
46.4375,48.0625,46.375,48.0,47.330623626708984,188400,07/20/1998
48.0,48.0,46.3125,46.3125,45.66665267944336,139700,07/21/1998
45.6875,45.6875,44.0625,44.375,43.75617218017578,120300,07/22/1998
44.4375,44.875,43.0,43.0,42.40034866333008,90100,07/23/1998
43.3125,43.5625,43.0625,43.25,42.6468620300293,87100,07/24/1998
43.375,43.375,40.375,41.75,41.16778564453125,578000,07/27/1998
41.625,41.6875,38.5,38.8125,38.27124786376953,892900,07/28/1998
39.0,39.0,36.0,36.8125,36.299137115478516,614100,07/29/1998
36.8125,36.8125,34.75,35.1875,34.69679641723633,1379100,07/30/1998
34.75,34.75,33.25,33.9375,33.464229583740234,1481900,07/31/1998
34.0,34.25,33.875,33.9375,33.464229583740234,353100,08/03/1998
34.0,34.875,34.0,34.5625,34.08051300048828,763100,08/04/1998
34.6875,36.3125,34.5,36.0,35.49796676635742,777800,08/05/1998
36.0,36.0,35.5,35.6875,35.18982696533203,404000,08/06/1998
35.625,35.6875,34.9375,35.5,35.00494384765625,260300,08/07/1998
35.5,35.5,34.75,34.9375,34.45028305053711,224600,08/10/1998
34.0,34.0625,33.6875,33.75,33.27934646606445,173800,08/11/1998
34.0,34.25,33.5,33.6875,33.217716217041016,118800,08/12/1998
33.6875,33.6875,30.5,31.125,30.690950393676758,140600,08/13/1998
31.25,32.0,31.0,31.25,30.814207077026367,212800,08/14/1998
31.4375,31.4375,28.75,29.0,28.5955867767334,420600,08/17/1998
29.0625,32.875,29.0,32.875,32.41654586791992,661600,08/18/1998
33.375,33.6875,33.125,33.125,32.663063049316406,288000,08/19/1998
33.125,33.125,31.4375,31.5,31.06072235107422,125800,08/20/1998
31.0,31.0,29.9375,30.8125,30.382808685302734,176900,08/21/1998
30.875,30.875,29.625,30.0,29.581640243530273,151000,08/24/1998
30.0,31.25,29.875,29.875,29.458385467529297,187500,08/25/1998
29.875,29.875,27.75,27.8125,27.424644470214844,226600,08/26/1998
26.5,26.5,25.0,25.0,24.6513671875,268600,08/27/1998
25.25,26.0,23.5,26.0,25.637420654296875,286300,08/28/1998
26.375,26.5,18.75,19.5,19.228065490722656,508600,08/31/1998
20.25,20.375,18.125,18.125,17.87224006652832,423700,09/01/1998
18.375,20.1875,18.375,19.8125,19.536209106445312,363100,09/02/1998
19.5,20.375,19.5,20.0,19.721094131469727,306800,09/03/1998
20.5,20.5625,20.125,20.125,19.844350814819336,227900,09/04/1998
20.75,21.125,20.5625,20.75,20.460634231567383,194700,09/08/1998
20.75,20.9375,19.5625,19.5625,19.289695739746094,403100,09/09/1998
19.5,19.5,17.75,18.5,18.24201202392578,398200,09/10/1998
18.625,19.625,18.625,19.0,18.73503875732422,104300,09/11/1998
19.75,21.1875,19.75,20.5625,20.2757511138916,91400,09/14/1998
20.75,21.0625,20.6875,21.0625,20.76877784729004,67700,09/15/1998
20.875,21.6875,20.875,21.6875,21.385059356689453,70800,09/16/1998
21.0,21.1875,19.5,20.25,19.967607498168945,144500,09/17/1998
20.5,21.0,19.75,20.0625,19.78272247314453,212200,09/18/1998
19.5625,20.375,19.5625,20.25,19.967607498168945,329900,09/21/1998
20.125,20.5625,20.125,20.5625,20.2757511138916,249100,09/22/1998
20.8125,20.9375,20.0,20.125,19.844350814819336,121000,09/23/1998
20.25,20.625,20.0,20.625,20.337379455566406,155900,09/24/1998
20.3125,20.5,20.125,20.1875,19.90597915649414,158600,09/25/1998
20.3125,21.3125,20.3125,20.75,20.460634231567383,202300,09/28/1998
