Open,High,Low,Close,Adj Close,Volume
7.375,7.375,7.25,7.25,4.46577787399292,20800
7.125,7.125,6.75,6.9375,4.27328634262085,31600
6.9375,6.9375,6.8125,6.8125,4.196290969848633,32000
6.6875,6.6875,6.25,6.4375,3.965301513671875,49800
6.5,6.75,6.4375,6.625,4.0807976722717285,170400
6.625,6.625,6.5,6.5625,4.042299747467041,41600
6.4375,6.5625,6.4375,6.5625,4.042299747467041,67000
6.625,6.625,6.5,6.5,4.003798961639404,27800
6.5,6.75,6.4375,6.75,4.1577935218811035,358200
6.4375,6.8125,6.4375,6.75,4.1577935218811035,690800
6.75,6.8125,6.75,6.8125,4.196290969848633,515200
6.8125,6.875,6.8125,6.875,4.23478889465332,540400
6.875,6.875,6.8125,6.875,4.23478889465332,1832200
6.9375,7.1875,6.9375,7.1875,4.427281856536865,1895400
7.1875,7.625,7.1875,7.5625,4.658267021179199,1413800
7.5625,7.6875,7.4375,7.4375,4.581273078918457,1665200
7.4375,7.4375,7.3125,7.4375,4.581273078918457,717000
7.4375,7.6875,7.4375,7.5625,4.673979759216309,971200
7.625,7.6875,7.625,7.625,4.712608337402344,1178000
7.625,7.6875,7.625,7.6875,4.751236438751221,659400
7.6875,7.875,7.6875,7.8125,4.828488826751709,374000
7.8125,7.9375,7.75,7.875,4.867118835449219,430200
7.8125,7.875,7.75,7.75,4.789862632751465,747000
7.8125,7.8125,7.625,7.6875,4.751236438751221,370000
7.6875,7.6875,7.625,7.625,4.712608337402344,1116200
7.625,7.6875,7.5,7.5,4.635351181030273,595800
7.5,7.5,7.3125,7.375,4.558095455169678,653000
7.375,7.4375,7.25,7.375,4.558095455169678,448400
7.125,7.375,7.125,7.375,4.558095455169678,386600
7.3125,7.6875,7.3125,7.625,4.712608337402344,361600
7.625,7.6875,7.375,7.375,4.558095455169678,551400
7.5,7.5,7.375,7.4375,4.596723556518555,338400
7.3125,7.5,7.3125,7.5,4.635351181030273,166000
7.5,7.625,7.25,7.25,4.48084020614624,424800
7.125,7.25,7.125,7.125,4.403585910797119,602800
7.125,7.3125,7.0,7.0,4.326326370239258,504600
7.0625,7.0625,6.9375,6.9375,4.287700653076172,378200
6.875,7.0625,6.875,6.875,4.249070644378662,197600
7.0,7.25,7.0,7.25,4.48084020614624,184800
7.1875,7.3125,7.1875,7.25,4.48084020614624,122200
7.3125,7.3125,7.125,7.125,4.403585910797119,201400
7.125,7.3125,6.875,6.875,4.249070644378662,858200
7.0,7.25,7.0,7.25,4.48084020614624,411400
7.1875,7.625,7.1875,7.625,4.712608337402344,330600
7.5625,7.5625,7.25,7.375,4.558095455169678,313400
7.3125,7.3125,7.125,7.3125,4.519467830657959,161600
7.25,7.3125,7.1875,7.25,4.48084020614624,344600
7.1875,7.3125,7.0625,7.1875,4.442211627960205,135800
7.25,7.4375,7.125,7.1875,4.442211627960205,375200
7.125,7.375,7.125,7.3125,4.519467830657959,491800
7.3125,7.3125,7.1875,7.25,4.48084020614624,152800
7.25,7.3125,7.25,7.25,4.48084020614624,272800
7.25,7.3125,7.25,7.25,4.48084020614624,161600
7.25,7.5,7.25,7.5,4.635351181030273,308200
7.5,7.6875,7.5,7.5625,4.673979759216309,388600
7.5,7.75,7.5,7.75,4.789862632751465,155000
7.6875,7.75,7.375,7.375,4.558095455169678,105200
7.375,7.5625,7.375,7.4375,4.596723556518555,206800
7.5,7.5625,7.4375,7.5,4.635351181030273,422600
7.5,7.5,7.4375,7.5,4.635351181030273,130800
7.4375,7.625,7.375,7.5625,4.673979759216309,199400
7.5,7.5625,7.375,7.375,4.558095455169678,119600
7.3125,7.375,7.25,7.25,4.48084020614624,195600
7.4375,7.5625,7.375,7.5625,4.673979759216309,158200
7.5,7.75,7.5,7.6875,4.751236438751221,104800
7.75,7.75,7.5625,7.75,4.789862632751465,345800
7.6875,7.8125,7.625,7.8125,4.828488826751709,298000
7.9375,8.25,7.875,8.0625,4.98300313949585,456400
8.0625,8.0625,7.875,7.875,4.867118835449219,268200
8.0,8.0625,7.8125,7.875,4.867118835449219,81000
7.8125,7.9375,7.625,7.75,4.789862632751465,397400
7.875,7.9375,7.8125,7.875,4.867118835449219,75600
7.75,7.9375,7.75,7.9375,4.905745506286621,92800
7.9375,7.9375,7.875,7.875,4.867118835449219,107600
7.8125,7.90625,7.8125,7.875,4.882619380950928,187800
7.875,7.875,7.6875,7.6875,4.766367435455322,280600
7.75,7.875,7.5625,7.875,4.882619380950928,97600
7.875,8.0625,7.8125,8.0625,4.998874187469482,339800
8.0,8.1875,8.0,8.1875,5.07637357711792,305200
8.125,8.5,8.0625,8.5,5.27012825012207,393800
8.5,8.5,8.25,8.25,5.11512565612793,407200
8.125,8.25,8.0625,8.125,5.037622928619385,47800
8.125,8.5,8.125,8.5,5.27012825012207,556200
8.375,8.625,8.375,8.5,5.27012825012207,759200
8.4375,8.5,8.4375,8.5,5.27012825012207,553200
8.4375,8.5,8.375,8.375,5.192628383636475,1003800
8.375,8.375,8.125,8.25,5.11512565612793,295200
8.1875,8.25,8.125,8.125,5.037622928619385,165800
8.125,8.125,8.0,8.0,4.960121154785156,396200
8.0,8.1875,8.0,8.1875,5.07637357711792,453200
8.1875,8.25,8.0625,8.125,5.037622928619385,870200
8.0625,8.25,8.0625,8.1875,5.07637357711792,685600
8.1875,8.25,8.125,8.125,5.037622928619385,163800
8.125,8.25,8.125,8.1875,5.07637357711792,290600
8.125,8.3125,8.125,8.25,5.11512565612793,165000
8.1875,8.3125,8.1875,8.25,5.11512565612793,86800
8.25,8.25,8.0625,8.0625,4.998874187469482,390800
8.0625,8.125,8.0,8.0625,4.998874187469482,287000
7.9375,8.125,7.9375,8.0625,4.998874187469482,167600
7.9375,8.0625,7.9375,8.0625,4.998874187469482,78800
8.0625,8.25,8.0,8.1875,5.07637357711792,150600
8.3125,8.5,8.3125,8.375,5.192628383636475,743800
8.375,8.5625,8.3125,8.5625,5.308880805969238,1206000
8.4375,8.5625,8.4375,8.5625,5.308880805969238,544800
8.5625,8.625,8.5,8.5625,5.308880805969238,201400
8.625,8.625,8.5,8.625,5.347630977630615,71600
8.75,8.8125,8.625,8.6875,5.386383056640625,205400
8.625,8.8125,8.625,8.6875,5.386383056640625,244000
8.625,8.625,8.5625,8.625,5.347630977630615,122400
8.625,8.6875,8.5625,8.6875,5.386383056640625,102400
8.625,8.6875,8.625,8.6875,5.386383056640625,136800
8.75,8.8125,8.6875,8.8125,5.463883876800537,513400
8.8125,8.8125,8.6875,8.8125,5.463883876800537,709800
8.25,8.25,7.625,7.9375,4.921368598937988,1680600
7.9375,7.9375,7.75,7.75,4.805117607116699,373600
7.8125,7.875,7.75,7.8125,4.843868255615234,501400
7.875,7.875,7.6875,7.75,4.805117607116699,1031000
7.75,7.75,7.625,7.6875,4.766367435455322,1103200
7.625,7.65625,7.5625,7.5625,4.688863277435303,703800
7.5625,7.6875,7.375,7.6875,4.766367435455322,422800
7.625,7.8125,7.625,7.8125,4.843868255615234,173800
7.8125,8.0625,7.75,8.0625,4.998874187469482,280000
8.0625,8.25,8.0,8.0625,4.998874187469482,131800
8.0,8.0625,8.0,8.0,4.960121154785156,225800
8.0625,8.375,8.0625,8.25,5.11512565612793,166600
8.125,8.1875,8.0625,8.125,5.037622928619385,41000
8.1875,8.1875,8.125,8.125,5.037622928619385,186800
8.125,8.125,7.9375,7.9375,4.921368598937988,183200
7.8125,7.8125,7.5625,7.6875,4.766367435455322,178000
7.625,7.6875,7.4375,7.625,4.7276153564453125,515200
7.5625,7.6875,7.5625,7.6875,4.766367435455322,45800
7.5625,7.625,7.3125,7.5,4.650113582611084,420800
7.625,7.625,7.4375,7.5,4.650113582611084,277200
7.625,7.625,7.4375,7.4375,4.611364841461182,142400
7.4375,7.5,7.4375,7.4375,4.611364841461182,117000
7.4375,7.5,7.375,7.5,4.650113582611084,226800
7.5625,7.5625,7.375,7.375,4.572612285614014,192600
7.375,7.4375,7.375,7.375,4.572612285614014,105600
7.3125,7.4375,7.3125,7.3125,4.549281120300293,1000800
7.4375,7.4375,7.1875,7.3125,4.549281120300293,419400
7.4375,7.4375,7.375,7.4375,4.627047061920166,97800
7.375,7.4375,7.3125,7.375,4.588164806365967,62600
7.375,7.375,7.1875,7.1875,4.4715166091918945,956600
7.25,7.25,7.1875,7.25,4.510401248931885,245000
7.25,7.25,7.1875,7.25,4.510401248931885,134400
7.4375,7.5625,7.4375,7.5625,4.704814434051514,1914200
7.5,7.5,7.375,7.4375,4.627047061920166,471400
7.375,7.5,7.25,7.25,4.510401248931885,1111000
7.3125,7.3125,7.1875,7.1875,4.4715166091918945,85200
7.25,7.25,7.1875,7.25,4.510401248931885,652400
7.1875,7.3125,7.1875,7.3125,4.549281120300293,158600
7.3125,7.3125,7.25,7.25,4.510401248931885,220200
7.25,7.25,7.125,7.125,4.432634353637695,242200
7.1875,7.25,7.1875,7.1875,4.4715166091918945,36600
7.25,7.3125,7.1875,7.1875,4.4715166091918945,319000
